,cosine_to_orig,embeddings_rank,from_clipping,from_original_token,from_split,norms_seen,spellcheck_rank,in_lexicon,length,same_order,orig_norms_seen,orig_in_lexicon,orig_same_order,orig_length,correct,raw_tok_index
outages,0.19283229112625122,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outback,0.22594283521175385,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outback's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outbacks,0.36519989371299744,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outbalance,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outbalanced,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outbalances,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outbalancing,,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outbid,0.24189265072345734,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outbidding,0.2444751113653183,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outbids,0.23753610253334045,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outbound,0.08949889242649078,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outbreak,0.21479874849319458,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outbreak's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outbreaks,0.2019260823726654,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outbuilding,0.24907751381397247,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outbuilding's,,,1.0,,,,,1.0,13,1.0,69.0,1.0,1.0,3.0,,0_2
outbuildings,0.3525595963001251,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outburst,0.25692111253738403,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outburst's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outbursts,0.2357102930545807,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outcast,0.23425287008285522,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outcast's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outcasts,0.22428937256336212,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outclass,0.1892935186624527,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outclassed,0.24541892111301422,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outclasses,0.22625946998596191,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outclassing,0.29609549045562744,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outcome,0.28040793538093567,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outcome's,0.36896413564682007,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outcomes,0.2265859693288803,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outcries,0.35987088084220886,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outcrop,0.2602819800376892,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outcrop's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outcropped,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outcropping,0.36004090309143066,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outcropping's,,,1.0,,,,,1.0,13,1.0,69.0,1.0,1.0,3.0,,0_2
outcroppings,0.38183897733688354,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outcrops,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outcry,0.3176596760749817,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outcry's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outdated,0.26026830077171326,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outdid,0.356341689825058,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outdistance,0.44306322932243347,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outdistanced,0.46669018268585205,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outdistances,0.4182406961917877,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outdistancing,,,1.0,,,,,1.0,13,1.0,69.0,1.0,1.0,3.0,,0_2
outdo,0.31883901357650757,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outdoes,0.30367717146873474,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outdoing,0.35694557428359985,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outdone,0.26724088191986084,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outdoor,0.2584149241447449,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outdoors,0.3562071919441223,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outdoors's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outed,0.39542269706726074,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outer,0.26677998900413513,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outermost,0.23871980607509613,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outfield,0.2614510953426361,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outfield's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outfielder,0.1973067969083786,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outfielder's,0.342215895652771,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outfielders,0.27692198753356934,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outfields,0.365380197763443,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outfit,0.3011622428894043,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outfit's,0.2873082756996155,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outfits,0.29592007398605347,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outfitted,0.3005410134792328,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outfitter,0.2798202633857727,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outfitter's,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outfitters,0.16935357451438904,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outfitting,0.3277052044868469,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outflank,0.3458559811115265,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outflanked,0.3435803949832916,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outflanking,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outflanks,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outfox,0.36628732085227966,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outfoxed,0.260932594537735,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outfoxes,0.35047197341918945,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outfoxing,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outgo,0.2426425665616989,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outgo's,,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outgoes,,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outgoing,0.16966837644577026,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outgrew,0.31020188331604004,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outgrow,0.2197582721710205,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outgrowing,0.2757274806499481,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outgrown,0.23353683948516846,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outgrows,0.16403792798519135,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outgrowth,0.2886919677257538,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outgrowth's,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outgrowths,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outhouse,0.31697240471839905,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outhouse's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outhouses,0.426535040140152,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outing,0.3032214641571045,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outing's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outings,0.22389858961105347,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlaid,,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlandish,0.2916024327278137,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outlandishly,0.21987338364124298,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outlast,0.27773067355155945,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlasted,0.22723287343978882,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlasting,0.2410229742527008,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outlasts,0.19155971705913544,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlaw,0.24923042953014374,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outlaw's,0.37397703528404236,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlawed,0.2090657502412796,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlawing,0.22655603289604187,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlaws,0.16852889955043793,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlay,0.18168242275714874,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outlay's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlaying,0.32980620861053467,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlays,0.1880461871623993,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlet,0.3011637330055237,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outlet's,0.38588082790374756,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlets,0.3378463685512543,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outline,0.30288609862327576,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outline's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlined,0.34921908378601074,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlines,0.35868099331855774,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlining,0.4016864597797394,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlive,0.1961836814880371,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlived,0.18122167885303497,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlives,0.18386425077915192,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outliving,0.348268985748291,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlook,0.0935654267668724,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outlook's,0.4123956263065338,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outlooks,0.1581060141324997,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outlying,0.2978005111217499,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outmaneuver,0.32507219910621643,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outmaneuvered,0.3456644117832184,,1.0,,,,,1.0,13,1.0,69.0,1.0,1.0,3.0,,0_2
outmaneuvering,,,1.0,,,,,1.0,14,1.0,69.0,1.0,1.0,3.0,,0_2
outmaneuvers,,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outmoded,0.24609214067459106,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outnumber,0.23597872257232666,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outnumbered,0.24929071962833405,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outnumbering,0.2543109655380249,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outnumbers,0.24465180933475494,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outpatient,0.18696309626102448,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outpatient's,,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outpatients,0.23385018110275269,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outperform,0.15139292180538177,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outperformed,0.18158270418643951,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outperforming,0.23628993332386017,,1.0,,,,,1.0,13,1.0,69.0,1.0,1.0,3.0,,0_2
outperforms,0.15129095315933228,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outplacement,0.2988588213920593,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outplacement's,,,1.0,,,,,1.0,14,1.0,69.0,1.0,1.0,3.0,,0_2
outplay,0.24031493067741394,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outplayed,0.24487729370594025,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outplaying,0.2457682490348816,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outplays,0.3147825002670288,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outpost,0.25539764761924744,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outpost's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outposts,0.22479842603206635,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outpouring,0.2998771667480469,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outpouring's,,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outpourings,0.3406362533569336,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
output,0.18295644223690033,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
output's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outputs,0.18632954359054565,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outputted,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outputting,0.3038504421710968,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outrage,0.3456653654575348,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outrage's,,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outraged,0.37507715821266174,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outrageous,0.2796681523323059,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outrageously,0.25394323468208313,,1.0,,,,,1.0,12,1.0,69.0,1.0,1.0,3.0,,0_2
outrages,0.27703985571861267,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outraging,0.2762370705604553,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outran,0.19104112684726715,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outrank,0.26540279388427734,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outranked,0.15992867946624756,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outranking,0.3291350305080414,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outranks,0.21728307008743286,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outreach,0.3068418502807617,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outreach's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outreached,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outreaches,0.32491669058799744,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outreaching,0.3148825466632843,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outrider,0.37954527139663696,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outrider's,,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outriders,0.3776800036430359,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outrigger,0.23233282566070557,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outrigger's,,,1.0,,,,,1.0,11,1.0,69.0,1.0,1.0,3.0,,0_2
outriggers,0.33470475673675537,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outright,0.3168747127056122,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outrun,0.21195535361766815,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outrunning,0.25607848167419434,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outruns,0.22264084219932556,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outré,0.2792377471923828,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outs,0.48270368576049805,,1.0,,,,3.0,1.0,4,1.0,69.0,1.0,1.0,3.0,,0_2
outsell,0.26631277799606323,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outselling,0.24397514760494232,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outsells,0.21172083914279938,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outset,0.2973553538322449,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outset's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outsets,,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outshine,0.20094896852970123,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outshines,0.18880385160446167,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outshining,0.25757312774658203,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outshone,0.22264638543128967,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outside,0.6260790228843689,,1.0,,,,,1.0,7,1.0,69.0,1.0,1.0,3.0,,0_2
outside's,0.25484299659729004,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outsider,0.31991147994995117,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
outsider's,0.27206313610076904,,1.0,,,,,1.0,10,1.0,69.0,1.0,1.0,3.0,,0_2
outsiders,0.3034702241420746,,1.0,,,,,1.0,9,1.0,69.0,1.0,1.0,3.0,,0_2
outsides,0.3016481399536133,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
